title,cover,publisher,description,author_id,year_id,award
Blue Mars,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,HarperCollins Voyager,"Blue Mars takes its title from the stage of terraforming that has allowed atmospheric pressure and temperature to increase so that liquid water can exist on the planet's surface, forming rivers and seas. It follows closely in time from the end of Green Mars and has a much wider scope than the previous two books, covering an entire century after the second revolution. As Earth is heavily flooded by the sudden melting of the Antarctic ice cap, the once mighty metanats are brought to their knees; as the Praxis Corporation paves a new way of ""democratic businesses"". Mars becomes the ""Head"" of the system, giving universal healthcare, free education, and an abundance of food. However, this sparks illegal immigration from Earth, so to ease the population strain on the Blue Planet, Martian scientists and engineers are soon put to the task of creating asteroid cities; where small planetoids of the Belt are hollowed out, given a spin to produce gravity, and a mini-sun is created to produce light and heat.",28,32,Hugo
Camouflage,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Analog Science Fact & Fiction,"A million years prior to the dawn of Homo sapiens, two immortal, shapeshifting aliens roam the Earth with little memory of their origin or their purpose. In the year 2019, an artifact is discovered off the coast of Samoa, buried deep beneath the ocean floor. The mysterious find attracts the alien beings—the ""changeling"" and the ""chameleon""—to Samoa, where one ponders the meaning of the object and the other speculates on its relationship to each of them. Both immortals seek each other for different reasons: one harbours good intentions toward humanity, while the other is extremely hostile.",14,41,Nebula
Cyteen,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Warner Books,"Ariane Emory is one of fourteen ""Specials"", Union-certified geniuses. In addition to her research on azi, she runs Reseune (founded by her parents) with the assistance of Giraud and Denys Nye.",57,24,Hugo
Darwin's Radio,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Del Rey Books,"In the novel, a new form of endogenous retrovirus has emerged, SHEVA. It controls human evolution by rapidly evolving the next generation while in the womb, leading to speciation.

The novel follows several characters as the ""plague"" is discovered as well as the panicked reaction of the public and the U.S. government to the disease.",29,36,Nebula
Doomsday Book,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Spectra,"Willis imagines a near future (first introduced in her story ""Fire Watch"" (1982)) in which historians conduct field work by traveling into the past as observers. The research is conducted at the University of Oxford, in the late-21st century England.[5]

In the book's fictional universe, history resists time travel that would cause the past to be altered, by preventing visits to certain places or times. Typically the machine used for time travel will refuse to function, rendering the trip impossible. In other cases ""slippage"", a shift in the exact time target, occurs. The time-traveler arrives at the nearest place-and-time suitable for preventing a paradox; variance can be anything from 5 minutes to 5 years. Some periods theoretically accessible can also be deemed too dangerous for the historians by the authorities controlling time travel.[5]",27,28,Nebula & Hugo
Double Star,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Astounding Science-Fiction,"The story, which is told in the first person, centers on down-and-out actor Lawrence Smith (stage name Lorenzo Smythe, also known as ""The Great Lorenzo""). A brilliant actor and mimic (or so we are told, by Smith himself), he is down to his last coin when a spaceman hires him to double for an unspecified public figure. It is only when he is on his way to Mars that he finds out he will have to impersonate one of the most prominent politicians in the solar system (and one with whose views Smith deeply disagrees): John Joseph Bonforte. Bonforte is the leader of the Expansionist coalition, currently out of office but with a good chance of changing that at the next general election. Bonforte has been kidnapped by his political opponents, and his aides want Smith to impersonate Bonforte while they try to find him.",46,57,Hugo
Downbelow Station,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,DAW Books,"Space is explored not by short-sighted governments, but by the Earth Company, a private corporation which becomes enormously wealthy and powerful as a result. Nine star systems are found to lack planets suitable for colonization, so space stations are built in orbit instead, stepping-stones for further exploration. Then, Pell's World is found to be not only habitable, but already populated by the gentle, sentient (if technologically backward) Hisa. Pell Station is built. The planet is nicknamed ""Downbelow"" by the stationers, who also start to call their home ""Downbelow Station"".

When Earth's out-of-touch policies cause it to begin losing control of its more distant stations and worlds, it builds a fleet of fifty military carriers, the Earth Company Fleet, to enforce its will. This leads to the prolonged Company War with the breakaway Union, based at Cyteen, another hospitable world. Caught in between are the stationers and the merchanters[3] who crew the freighters that maintain interstellar trade.",57,17,Hugo
Dreamsnake,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Houghton Mifflin,"The novel follows a healer on her quest to replace her ""dreamsnake"", a small snake whose venom is capable of inducing torpor and hallucinations in humans, akin to those produced by drugs such as LSD or heroin. According to the author,[3] the world is Earth, but it is in our post apocalyptic future, scientifically and socially much different from modern Earth. A nuclear war has left vast swathes of the planet too radioactive to support human life, biotechnology is far more advanced than in today's Earth—genetic manipulation of plants and animals is routine, and alternate sex patterns and other-worldly tribalism put in appearances.",16,14,Nebula & Hugo
Dune,no cover pic yet,Chilton Company,"Set in the distant future amidst a feudal interstellar society in which noble houses, in control of individual planets, owe allegiance to the Padishah Emperor, Dune tells the story of young Paul Atreides, whose noble family accepts the stewardship of the desert planet Arrakis. As this planet is the only source of the ""spice"" melange, the most important and valuable substance in the universe, control of Arrakis is a coveted — and dangerous — undertaking. The story explores the multi-layered interactions of politics, religion, ecology, technology, and human emotion, as the forces of the empire confront each other in a struggle for the control of Arrakis and its ""spice"".",2,1,Nebula & Hugo
Ender's Game,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"Set in Earth's future, the novel presents an imperiled mankind after two conflicts with the ""buggers"", an insectoid alien species. In preparation for an anticipated third invasion, children, including the novel's protagonist, Ender Wiggin, are trained from a very young age through increasingly difficult games including some in zero gravity, where Ender's tactical genius is revealed.",22,21,Nebula & Hugo
Falling Free,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Analog Science Fact & Fiction,"The novel is set about 200 years before the birth of Miles Vorkosigan, the protagonist of much of the Vorkosigan series. It deals with the creation of the ""Quaddies"", genetically modified people who have four arms, the second pair appearing where unmodified humans would have legs. They were intended to be used as a space labor force, superbly adapted to zero-gravity but more or less helpless ""downside"" in any but the lightest gravitational field. From the point of view of the commercial interests responsible for their creation, they would be highly profitable laborers, requiring none of the special facilities or mandatory time off needed by other humans, whose bodies tend to deteriorate over the long term in weightlessness. They would also be completely beholden to the company for life support and would have no rights as human beings.",24,24,Nebula
Flowers for Algernon,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Harcourt,"The eponymous Algernon is a laboratory mouse who has undergone surgery to increase his intelligence by artificial means. The story is told by a series of progress reports written by Charlie Gordon, the first human test subject for the surgery, and it touches upon many different ethical and moral themes such as the treatment of the mentally disabled.[",70,2,Nebula
Forever Peace,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,"Using remotely controlled robots called ""soldierboys"" (which are nearly invincible), the Alliance military fights third world guerrillas in an endless series of economy-driven wars. As only first world nations possess the nanoforge technology that can produce anything from basic materials, conflict is asymmetric.

The novel is told partly in first-person narration by the main character, Julian Class, and partly by an anonymous third-person narrator, who is able to comment on aspects of Julian's personality and background.

The main protagonist, Julian Class, is a physicist and a mechanic who operates a soldierboy. Thanks to electronic ""jacks"" implanted in their skulls, mechanics are remotely linked to the machinery as well as to each other, being able to experience battle through the machines and read the thoughts of other mechanics who are simultaneously jacked in.",14,34,Nebula
Forever Peace,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,"Using remotely controlled robots called ""soldierboys"" (which are nearly invincible), the Alliance military fights third world guerrillas in an endless series of economy-driven wars. As only first world nations possess the nanoforge technology that can produce anything from basic materials, conflict is asymmetric.

The novel is told partly in first-person narration by the main character, Julian Class, and partly by an anonymous third-person narrator, who is able to comment on aspects of Julian's personality and background.

The main protagonist, Julian Class, is a physicist and a mechanic who operates a soldierboy. Thanks to electronic ""jacks"" implanted in their skulls, mechanics are remotely linked to the machinery as well as to each other, being able to experience battle through the machines and read the thoughts of other mechanics who are simultaneously jacked in.",14,33,Hugo
Foundation's Edge,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Doubleday,"Five hundred years after the establishment of the Foundation, the Mayor of Terminus, Harla Branno, is basking in a political glow, her policies having been vindicated by the recent successful resolution of a Seldon Crisis. Golan Trevize, a former officer of the Navy and now a member of Council, believes the Second Foundation (which is almost universally thought to be extinct) still exists and is controlling events. He attempts to question the continued existence of the Seldon Plan during a Council session and Branno has him arrested on a charge of treason. Branno also believes that the Second Foundation still exists and is in control, but she cannot admit it publicly for political reasons, and treats that as a state secret, hence her alarm and her swift action.",12,18,Hugo
Gateway,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,"Gateway is a space station built into a hollow asteroid constructed by the Heechee, a long-vanished alien race. Humans have had limited success understanding Heechee technology found there and elsewhere in the solar system. The Gateway Corporation administers the asteroid on behalf of the governments of the United States, the Soviet Union, New People's Asia, the Venusian Confederation, and the United States of Brazil.",15,13,Nebula & Hugo
Green Mars,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,HarperCollins,"Green Mars takes its title from the stage of terraforming that has allowed plants to grow. It picks up the story 50 years after the events of Red Mars in the dawn of the 22nd century, following the lives of the remaining First Hundred and their children and grandchildren. Hiroko Ai's base under the south pole is attacked by UN Transitional Authority (UNTA) forces, and the survivors are forced to escape into a (less literal) underground organization known as the Demimonde. Among the expanded group are the First Hundred's children, the Nisei, a number of whom live in Hiroko's second secret base, Zygote.",28,29,Hugo
Harry Potter and the Goblet of Fire,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bloomsbury Publishing,"The book opens with Harry seeing Frank Bryce being killed by Lord Voldemort in a vision, and is awoken by his scar hurting. The Weasleys then take Harry and Hermione Granger to the Quidditch World Cup, using a Portkey, to watch Ireland versus Bulgaria, with Ireland emerging victorious. There, Harry meets Cedric Diggory, who is attending the match with his father. After the match, Voldemort's followers attack the site, destroying spectators' tents and wreaking havoc. The Dark Mark gets fired into the sky, which leads to a panic since it is the first time the sign has been seen in 13 years. Winky, Barty Crouch Senior's house elf, is falsely accused of casting the Mark after she is found holding Harry's wand, which is revealed to have been used to cast the Mark, as Harry had lost it during the chaos of the Death Eaters' attack. Hermione, angry at this injustice, forms a society to promote the rights of house elves.",61,36,Hugo
Here Gather the Stars,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,"Enoch Wallace, an American Civil War veteran, is chosen by an alien called Ulysses to administer a way station for interplanetary travel. Travelers arrive by a form of teleportation by duplication, where the original body remains at the source and a new live copy is created at the destination. Enoch's job is to monitor the machinery of the way station and make sure arrival conditions meet the biological needs of the wide variety of aliens. The work is not difficult, but requires him to adopt an extremely broad and open-minded perspective. Sometimes he is able to communicate in some fashion with them, befriending and gaining a sense of fellowship with many individuals and races.",51,65,Hugo
Hominids,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Analog Science Fact & Fiction,"The Neanderthal Parallax is a trilogy of novels by Robert J. Sawyer published by Tor. It depicts the effects of the opening of a connection between two versions of Earth in different parallel universes: the world familiar to the reader, and another where Neanderthals became the dominant intelligent hominid. The societal, spiritual and technological differences between the two worlds form the focus of the story.",30,38,Hugo
Hyperion,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Doubleday,"In the 27th century, humanity has spread across the galaxy, first aboard ""Hawking drive"" ships and then through ""farcasters"", which permit nearly instantaneous travel regardless of distance. However, many planets are of little economic interest and disconnected from the farcasters. These planets can only be reached by spaceship, resulting in time dilation effects which cause ""time debt"" accruals.

The Ousters have been long obsessed with Hyperion, and on the eve of their invasion and a probable war, a final pilgrimage has been organised. Seven pilgrims have been carefully selected by unseen elements of the TechnoCore to make the journey to the Time Tombs and the Shrike, with the objective of aiding the Hegemony in the imminent war.",58,25,Hugo
Jonathan Strange & Mr Norrell,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bloomsbury Publishing,"An alternative history set in 19th-century England around the time of the Napoleonic Wars, it is based on the premise that magic once existed in England and has returned with two men: Gilbert Norrell and Jonathan Strange. Centred on the relationship between these two men, the novel investigates the nature of ""Englishness"" and the boundaries between reason and unreason, Anglo-Saxon and Anglo-Dane, and Northern and Southern English cultural tropes/stereotypes. It has been described as a fantasy novel, an alternative history, and a historical novel. It inverts the Industrial Revolution conception of the North-South divide in England: in this book the North is romantic and magical, rather than rational and concrete.",62,40,Hugo
Lord of Light,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Doubleday,"Lord of Light is set on a planet colonized by some of the remnants of ""vanished Urath,"" or Earth. The crew and colonists from the spaceship Star of India found themselves on a strange planet surrounded by hostile indigenous races and had to carve a place for themselves or perish. To increase their chances of survival, the crew has used chemical treatments, biofeedback and electronics to mutate their minds and create enhanced self-images, or ""Aspects,"" that ""strengthened their bodies and intensified their wills and extended the power of their desires into Attributes, which fell with a force like magic upon those against whom they were turned."" The crew has also developed a technology to transfer a person's atman, or soul, electronically to a new body. This reincarnation by mind transfer has created a race of potential immortals and allowed the former crew members to institute the Hindu caste system, with themselves at the top.",52,3,Hugo
Man Plus,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,The Magazine of Fantasy & Science Fiction,"In the not-too-distant future, a cold war threatens to turn hot. Colonization of Mars seems to be mankind's only hope of surviving certain Armageddon. To facilitate this, the American government begins a cyborg program to create a being capable of surviving the harsh Martian environment: Man Plus. After the death of the first candidate, due to the project supervisors forgetting to enhance his brain's ability to process sensory input to cope with the new stimuli he is receiving, Roger Torraway becomes the heart of the program.",15,12,Nebula
Mirror Dance,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Baen Books,"Mark, Miles Vorkosigan's clone, masquerades as him and dupes his mercenary force, the Dendarii, into undertaking a mission to free clones held ""prisoner"" on Jackson's Whole, an anything-goes freebooters' planet where Mark was created and raised. ",24,30,Hugo
Moving Mars,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"The main focus of Moving Mars is the coming of age and development of Casseia Majumdar, the narrator, as political tensions over revolutionary scientific discoveries build between Earth and Martian factions, and Mars tries to unify itself.",29,30,Nebula
Neuromancer,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,The novel tells the story of a washed-up computer hacker hired by a mysterious employer to pull off the ultimate hack.,21,20,Nebula & Hugo
No Enemy But Time,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Timescape Books,"The novel follows the story of a modern black American man who is able to mentally project himself back to pre-human Africa, where he meets (and eventually mates) with humanity's prehistoric ancestors.",19,18,Nebula
Paladin of Souls,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Eos,"Paladin of Souls is a sequel to The Curse of Chalion and is set some three years after the events of the novel. It follows Ista, mother of Iselle and Teidez Dy Chalion. Recovering from the extreme guilt and grief that had marked her as mad while the Golden General's curse on her family persisted, she finds herself bored to distraction and restless. To get away from her home town, Valenda, and its ugly memories she sets out on a religious pilgrimage with the dy Gura brothers (also minor characters from the earlier story) for protection; Liss, a feisty and clever courier girl; and dy Cabon, a plump priest of the Bastard (one of the five gods of the Chalion universe) as her 'spiritual guide'. ",24,39,Hugo
Paladin of Souls,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Eos,"Paladin of Souls is a sequel to The Curse of Chalion and is set some three years after the events of the novel. It follows Ista, mother of Iselle and Teidez Dy Chalion. Recovering from the extreme guilt and grief that had marked her as mad while the Golden General's curse on her family persisted, she finds herself bored to distraction and restless. To get away from her home town, Valenda, and its ugly memories she sets out on a religious pilgrimage with the dy Gura brothers (also minor characters from the earlier story) for protection; Liss, a feisty and clever courier girl; and dy Cabon, a plump priest of the Bastard (one of the five gods of the Chalion universe) as her 'spiritual guide'. ",24,40,Nebula
Parable of the Talents,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Seven Stories Press,"Parable of the Talents (1998) (the sequel to Parable of the Sower) tells the story of how, as the U.S. continues to fall apart, the protagonist's community is attacked and taken over by a bloc of religious fanatics who inflict brutal atrocities. The novel is a harsh indictment of religious fundamentalism, and has been compared in that respect to Margaret Atwood's The Handmaid's Tale.",32,35,Nebula
Powers,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Harcourt,"Gavir is a slave who develops a gift for precognition. He is trained to serve as a teacher for a noble family in the city of Etra; but personal tragedy drives him into the life of a hunted wanderer. He endures adventures, challenges, and suffering. Eventually he escapes to a new and happy life.[4]",9,44,Nebula
Rainbows End,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"Thanks to advances in medical technology, Robert Gu is slowly recovering from Alzheimer's disease. As his faculties return, Robert (who always has been technophobic) must adapt to a different world, where almost every object is networked and mediated-reality technology is commonplace. Robert, formerly a world-renowned poet but with a notoriously mean-spirited personality, must also learn how to change and how to rebuild relationships with his estranged family. At the same time, Robert and his granddaughter Miri are drawn into a complex plot involving a traitorous intelligence officer, an intellect of frightening (and possibly superhuman) competence hiding behind an avatar of an anthropomorphic rabbit, and ominous new mind control technology with profound implications.",60,42,Hugo
Red Mars,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Spectra,"Red Mars starts in 2026 with the first colonial voyage to Mars aboard the Ares, the largest interplanetary spacecraft ever built and home to a crew who are to be the first hundred Martian colonists. The ship was built from clustered space shuttle external fuel tanks which, instead of reentering Earth's atmosphere, had been boosted into orbit until enough had been amassed to build the ship. ",28,29,Nebula
Redshirts,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"In the prologue, several senior officers of the Intrepid, flagship of the Universal Union, lament the unusually high number of casualties of low-ranking crew members during recent away missions and conclude that they will need more crewmen to replace them.

Docking at a spaceport, the Intrepid takes on five new Ensigns including Andrew Dahl, an expert in alien religions and xenobiology; Dahl quickly discerns that the crew is extremely phobic of being near the senior officers and of going on away missions due to their unusually high fatality rate. Over the course of several away missions, various crew members suggest that the deaths are due to incompetence, superstition, or cosmic forces, requiring “sacrifices” of some crew members so that others will survive.",65,48,Hugo
Rendezvous with Rama,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,"Set in the 2130s, the story involves a 50-kilometre (31 mi) cylindrical alien starship that enters Earth's solar system. The story is told from the point of view of a group of human explorers who intercept the ship in an attempt to unlock its mysteries. ",13,9,Nebula & Hugo
Ringworld,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ballantine Books,"The novel opens in 2850 AD on Earth. Louis Gridley Wu is celebrating his 200th birthday. Despite his age, Louis is in perfect physical condition (because of a regimen of boosterspice) but is bored. He has experienced life thoroughly, and is thinking of taking a trip to and beyond the reaches of Known Space, all alone in a spaceship for a year or more. He is confronted by Nessus, a Pierson's Puppeteer, and offered one of three open positions on an exploration voyage beyond Known Space. Speaker-to-Animals (Speaker), who is a Kzin, and Teela Brown, a young human woman, also join the voyage.

They first travel to the Puppeteer home world, where they learn that the expedition's goal is to explore Ringworld, an artificial ring about one million miles (1,600,000 km) wide and approximately the diameter of Earth's orbit (which makes it about 600,000,000 miles or 950,000,000 km in circumference), encircling a sunlike star.",10,6,Nebula & Hugo
